f_X1,f_X2,f_X3,f_X4,f_X5,n_label
1.4786007,1.1773175,1.1848801,1.2794268,1.0881032,0.0
0.8108009,0.94240206,0.9133583,0.96243966,0.8189648,1.0
0.7824609,0.53429204,0.79655945,0.64390576,0.6029099,0.0
1.189476,0.5355933,0.4966742,0.8411657,0.9047325,1.0
1.0374459,0.9733238,1.1088895,1.3930416,1.2783856,0.0
0.6447336,1.4311363,1.833298,1.274998,0.9982704,1.0
0.8497435,0.9000716,0.7783487,0.8807189,0.7551371,1.0
1.13972,1.2063745,1.716436,1.5221143,1.3947375,0.0
0.49435005,0.7003403,0.9961359,0.82663894,0.6953001,0.0
0.92682594,0.8625567,1.5981202,1.0374115,0.87958777,0.0
0.95498806,1.2926286,1.1988173,1.0468552,1.1567408,1.0
0.8365604,0.9059015,1.0220429,0.95638376,0.84983057,1.0
0.98191756,0.71476126,0.71298075,0.6750652,0.70177203,0.0
0.95939994,0.9375251,0.91233903,0.90309507,0.9621352,1.0
1.0173355,0.54293436,0.19973442,0.4662766,0.51150125,1.0
0.85311085,0.7272099,0.8594426,0.7117868,0.6868886,0.0
1.4559884,0.5380727,0.20142046,0.61699075,0.7868378,1.0
0.88063323,0.82104075,0.5968235,0.8009375,0.7020849,1.0
0.90872586,0.89456964,0.83566886,0.8897491,0.77016914,1.0
1.093965,0.97360563,0.81624055,1.1734829,1.1217571,1.0
1.1563046,1.108056,0.9950219,1.106381,1.0253645,1.0
0.88729036,0.8236842,0.7454226,1.0110824,0.974596,0.0
0.9912373,0.8775258,0.19528858,1.297966,1.4807869,1.0
0.631879,0.46738908,0.5775532,0.7477796,0.8127001,1.0
0.5781443,1.2438279,0.681457,0.879428,0.85512745,0.0
1.0388485,1.1331683,0.7904916,1.0027155,0.9005756,1.0
0.9887046,0.8331001,0.7168577,1.1609935,0.97173357,1.0
0.9045626,0.49584782,0.20525871,0.6479063,0.7215633,1.0
1.4344822,0.82753146,0.8108838,1.6908561,1.3391337,1.0
0.8996752,0.73657966,0.8504514,1.155134,1.0551451,1.0
0.87444943,0.79029316,0.8215658,0.7942838,0.70402646,1.0
0.9968772,0.7591716,1.547515,0.92843074,0.7925101,1.0
0.7685435,0.7539821,0.5203595,0.7661879,0.7902576,1.0
2.6436398,0.73362374,0.7471655,1.0556295,1.4167559,1.0
1.3176008,1.1466876,1.5423872,1.1243166,0.9423166,1.0
2.311982,0.84601486,1.5448998,2.0620482,2.2203796,0.0
0.8295818,1.1028408,0.8755051,1.3169931,1.0560055,1.0
0.7984765,0.88250524,0.6522419,0.8507492,0.7481177,1.0
0.9726195,1.1034095,0.58217525,0.80591947,0.75428855,1.0
0.7530695,1.1745664,0.94086915,0.9593404,0.82099825,1.0
0.866441,0.87955445,0.90101707,0.88407695,0.76380086,1.0
0.5195143,0.7445458,0.43852133,0.9346858,1.1810427,1.0
0.48731437,1.0059925,1.2385825,1.1139538,0.8338561,1.0
0.8174866,0.7284138,1.0116769,0.8852132,0.7598943,0.0
0.41188198,0.7029991,0.6745864,0.8997489,0.73158205,1.0
0.8370827,0.61516714,0.9089259,0.7276074,0.6658362,1.0
1.1341199,0.94452804,0.76718795,0.68041015,0.697273,1.0
1.0406786,1.2209798,0.2824164,0.8409219,0.9862045,0.0
0.7535621,0.86311,0.6744845,0.8366804,0.6954448,0.0
0.7696792,0.6264426,0.29443207,0.56920457,0.548534,0.0
0.9663763,0.77430975,1.5820972,1.0296484,0.911965,0.0
0.56932515,1.9416426,2.5246255,1.584326,1.2180598,0.0
0.9412348,0.553216,0.32620233,0.61123234,0.6069202,1.0
1.1397302,0.70658517,0.88115424,0.94235665,0.8027791,1.0
0.81147254,0.97595704,2.4166915,1.3864802,1.1967258,0.0
1.4114252,0.90540457,0.93209916,1.0643235,0.90886784,1.0
0.8621307,0.8591551,2.793082,1.7230595,1.3167812,0.0
0.73857504,0.5730723,0.86513126,1.4412204,1.3098478,1.0
0.9051248,0.985711,1.8182468,1.215472,1.0828043,1.0
0.90787405,0.95702285,1.2924744,0.9012361,0.8461195,0.0
2.3032358,1.6509442,0.91823316,1.3542382,1.1741973,1.0
0.5569893,1.0511458,0.79260904,0.86268824,0.74803364,1.0
2.4639847,0.7788794,0.943911,1.6848211,1.3386841,1.0
0.8041632,0.7610466,1.0304415,1.3768462,1.4983315,0.0
0.76056707,1.0897877,0.9038614,0.99282277,0.80524075,1.0
0.5263835,1.004722,0.9001243,0.7265932,0.8732899,0.0
0.62159795,1.5115606,0.853272,1.0094227,0.81208026,1.0
0.8235666,1.4291179,1.0724821,1.1303961,0.9207363,1.0
0.64270157,1.0354748,1.2725483,1.3413174,1.0310231,0.0
1.7456832,1.377269,0.6453792,1.1174548,1.0691175,1.0
0.93250585,0.64195985,0.8502539,1.0143304,0.9207187,0.0
0.30490074,0.9648506,1.852987,1.0524261,0.7882319,1.0
1.356759,0.7952675,1.6693704,1.027376,0.89510477,1.0
0.37773666,0.642549,1.5261589,0.9755089,0.95410097,1.0
1.29565,1.0384358,1.4609214,0.9141507,0.8013987,1.0
1.2550551,1.0923953,0.69588006,0.7928145,0.8352345,0.0
1.9415193,0.8147755,0.9899732,0.9096803,0.8084728,1.0
0.8651833,0.92238694,0.899113,0.9344478,0.8024702,1.0
0.838979,0.7481062,0.74021506,0.8586639,0.7529257,1.0
1.4506745,0.96077275,1.4974866,0.9679779,0.8336664,1.0
0.7722483,1.5521287,0.7076334,1.0619262,0.9126611,1.0
0.99235934,0.9874682,1.1334612,0.9382342,1.1065706,0.0
0.86122644,0.6468778,0.8708199,0.8973248,0.7971675,1.0
0.66886705,0.9656703,1.7858847,1.1200454,0.97585136,1.0
0.8899427,1.2636535,1.2082115,1.1078504,1.1333089,1.0
1.2339138,1.5225184,1.8205934,1.2020814,1.0647416,0.0
0.81099135,1.0224371,0.5590004,0.8887199,0.8629504,0.0
0.87327605,1.0523086,0.6491005,0.80122894,0.78393227,1.0
0.86245674,0.78606683,0.9045883,0.96290654,0.8372915,1.0
0.5746983,0.8478232,0.97406083,0.8300922,0.7791438,1.0
0.9038111,0.4968181,0.82014364,0.75988525,0.6827121,1.0
0.7818087,0.9388417,1.0476259,0.8349701,0.75145143,0.0
0.76205856,0.766277,0.19863066,0.68697166,0.7709924,1.0
0.6370878,0.9042109,0.8180262,0.7415661,1.0019268,0.0
4.5319066,1.0050602,0.83671176,1.7860061,1.9823456,1.0
3.3109357,0.88739246,0.6781149,1.228351,1.0345876,1.0
0.89147073,0.72927445,0.33543766,0.8266627,0.72283417,0.0
1.3033128,0.84708047,2.1749084,1.381858,1.111715,1.0
1.0971967,0.63482875,1.4363021,0.914707,0.7903201,0.0
0.67855847,1.4819554,0.87672186,1.2226491,1.0411983,1.0
0.78483725,0.7770659,1.8423128,1.1964182,1.0172228,0.0
1.1138018,0.91498953,0.8131513,1.030291,0.9169373,1.0
0.8058349,0.6674309,0.59635574,0.81974137,0.7202278,1.0
0.94310606,1.414118,0.54863596,1.0944808,0.9661004,0.0
1.0228317,1.7974435,1.1926941,1.2120484,1.0697236,1.0
3.8113704,1.8245283,1.2896222,2.6114433,2.0063171,0.0
0.2885727,0.8181412,1.1234902,0.7059273,0.5816054,1.0
1.462625,0.6722618,0.7709353,0.8850585,0.75903004,0.0
0.72532016,0.72838813,1.5698982,0.8768523,0.7543413,1.0
0.62039834,0.93176186,1.3431191,1.0437261,1.1755934,0.0
0.5768272,0.8200726,0.90770125,0.91805613,0.7680457,1.0
1.1162764,1.2671422,0.8498035,1.0212458,1.0067836,1.0
1.3447629,0.8040072,0.7351166,0.84985393,0.73530096,1.0
0.5671415,0.7313543,0.99708396,1.0210257,0.8953726,1.0
